"Internal - All"
"Address","Content","Status Code","Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","Meta Refresh 1","Canonical Link Element 1","Size","Word Count","Text Ratio","Crawl Depth","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Hash","Response Time","Last Modified","Redirect URI","Redirect Type","URL Encoded Address"
"http://www.neoassist.com/","text/html","200","OK","NeoAssist | Início","18","139","NeoAssist é uma plataforma de atendimento ao cliente e relacionamento com clientes. Software e Consultoria para aproximar empresas e consumidores e transformar o atendimento no Brasil.","184","1108","","0","Vamos transformar o relacionamento com clientes da sua empresa.","63","A solução completa para relacionamento com clientes","51","Serviço Nosso objetivo é o seu sucesso","38","Canais de Atendimento Experiência Omnichannel","45","","","","40297","1078","17.428097","0","8","1","5.0","46","21","15","8","3d64c7974733125f2730f227acb89a24","0.312","","","","http://www.neoassist.com/"
"http://www.neoassist.com/img/clients/cristiano-chaves.jpg","image/jpeg","200","OK","","0","0","","0","0","","0","","0","","0","","0","","0","","","","54586","0","0.0","1","0","0","0.0","0","0","0","0","","0.297","Tue, 07 Feb 2017 02:54:27 GMT","","","http://www.neoassist.com/img/clients/cristiano-chaves.jpg"
"http://www.neoassist.com/dist/css/font-awesome.min.css","text/css","200","OK","","0","0","","0","0","","0","","0","","0","","0","","0","","","","31000","0","0.0","1","0","0","0.0","0","0","0","0","","0.286","Tue, 07 Feb 2017 02:54:25 GMT","","","http://www.neoassist.com/dist/css/font-awesome.min.css"
"http://www.neoassist.com/img/consultoria_estrategica_neo.png","image/png","200","OK","","0","0","","0","0","","0","","0","","0","","0","","0","","","","15688","0","0.0","1","0","0","0.0","0","0","0","0","","0.287","Tue, 07 Feb 2017 02:54:27 GMT","","","http://www.neoassist.com/img/consultoria_estrategica_neo.png"
"http://www.neoassist.com/satisfacao-clientes","text/html","200","OK","NeoAssist | Satisfação de Clientes","34","275","NeoAssist é uma plataforma de atendimento ao cliente e relacionamento com clientes. Software e Consultoria para aproximar empresas e consumidores e transformar o atendimento no Brasil.","184","1108","","0","Aumente a Satisfação de seus clientes","37","Seu cliente está feliz?","23","Serviço Nosso objetivo é o seu sucesso","38","Canais de Atendimento Experiência Omnichannel","45","","","","34610","669","12.713088","1","48","20","100.0","38","19","15","8","5abc6f82378a6f75ce184575a9d83717","0.176","","","","http://www.neoassist.com/satisfacao-clientes"
"http://www.neoassist.com/img/clients/juliana-cabral.jpg","image/jpeg","200","OK","","0","0","","0","0","","0","","0","","0","","0","","0","","","","38712","0","0.0","1","0","0","0.0","0","0","0","0","","0.314","Tue, 07 Feb 2017 02:54:27 GMT","","","http://www.neoassist.com/img/clients/juliana-cabral.jpg"
"http://www.neoassist.com/img/clients/avanti-palmeiras.png","image/png","200","OK","","0","0","","0","0","","0","","0","","0","","0","","0","","","","75356","0","0.0","1","0","0","0.0","0","0","0","0","","0.306","Tue, 07 Feb 2017 02:54:27 GMT","","","http://www.neoassist.com/img/clients/avanti-palmeiras.png"
"http://www.neoassist.com/facebook","text/html","200","OK","NeoAssist | Canais","18","152","NeoAssist é uma plataforma de atendimento ao cliente e relacionamento com clientes. Software e Consultoria para aproximar empresas e consumidores e transformar o atendimento no Brasil.","184","1108","","0","Não deixe seu cliente desamparado no Facebook","45","Benefícios do Facebook","22","Atendimento Inteligente","23","E-mail","6","","","","37880","730","12.845829","1","34","20","100.0","42","19","15","8","e538df78853e6e20817c46420da0ac62","0.179","","","","http://www.neoassist.com/facebook"
"http://www.neoassist.com/img/chat_neo.png","image/png","200","OK","","0","0","","0","0","","0","","0","","0","","0","","0","","","","11303","0","0.0","2","0","0","0.0","0","0","0","0","","0.163","Tue, 07 Feb 2017 02:54:26 GMT","","","http://www.neoassist.com/img/chat_neo.png"
"http://www.neoassist.com/integracoes","text/html","200","OK","NeoAssist | Canais","18","152","NeoAssist é uma plataforma de atendimento ao cliente e relacionamento com clientes. Software e Consultoria para aproximar empresas e consumidores e transformar o atendimento no Brasil.","184","1108","","0","Integre seus sistemas internos e externos","41","Transacione informações","23","Atendimento Inteligente","23","E-mail","6","","","","34667","610","11.818155","1","34","20","100.0","42","19","15","8","e64f43f9ea0465f8c7433fddba5f79a8","0.297","","","","http://www.neoassist.com/integracoes"
