Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"telefone groupon sac","94","0","50","70.73","0.22","https://www.zendesk.com.br/","0.00","0.00","0.12","436000","0.14,0.64,1.00,0.36,0.21,0.14,0.14,0.50,0.14,0.29,0.79,0.14","1512591737"
"chatportugues","45","0","90","67.15","0.00","https://www.zendesk.com.br/chat/","0.00","0.00","0.26","757000","0.11,0.56,0.22,0.56,1.00,0.33,1.00,0.33,0.11,0.11,0.11,0.56","1510545235"
"twillo","39","72","320","84.38","3.48","https://www.zendesk.com.br/customer/twilio/","0.00","0.00","0.37","2430000","0.44,0.82,0.19,0.82,0.36,0.12,0.55,0.24,0.36,0.36,0.24,1.00","1513254030"
"gropoon","37","30","110","89.90","0.16","https://www.zendesk.com.br/customer/groupon/","0.00","0.00","0.15","55300000","0.64,0.79,0.79,0.79,0.64,0.64,1.00,0.64,0.79,0.64,0.64,0.79","1512401577"
"bem vindo ao facebook lugar onde","54","48","880","83.62","0.16","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.14","2430000","0.55,0.62,1.00,0.55,1.00,1.00,0.81,0.37,0.07,0.09,0.24,0.11","1510495938"
"video chat brasileiro","70","74","110","56.84","1.01","https://www.zendesk.com.br/chat/","0.00","0.00","0.43","510000","0.67,0.43,0.33,0.43,0.43,0.52,0.43,0.43,0.67,0.43,1.00,0.67","1512470789"
"skai skaner","8","12","90","84.21","0.00","https://www.zendesk.com.br/customer/skyscanner/","0.00","0.00","0.00","0","0.33,0.11,0.44,0.11,0.78,0.33,0.22,0.78,0.11,0.11,1.00,0.11","1511184199"
"aplicativo da ticket","62","72","90","77.92","0.00","https://www.zendesk.com.br/help-desk-software/features/trouble-ticket-software/","0.00","0.00","0.14","523000","0.07,0.01,1.00,0.44,1.00,0.44,0.10,0.15,0.36,0.24,0.24,0.24","1510570479"
"base do conhecimento","9","8","30","66.16","0.00","https://www.zendesk.com.br/guide/features/knowledge-base-software/","0.00","0.00","0.10","10400000","0.40,0.40,0.80,0.60,0.60,0.20,0.40,0.60,1.00,0.80,0.60,1.00","1511749625"
"sms pronto","88","81","90","66.40","0.00","https://www.zendesk.com.br/talk/text/","0.00","0.00","0.58","19200000","0.82,0.53,1.00,0.65,0.53,0.41,0.41,0.29,0.29,0.24,0.18,0.24","1512414044"
"gruppom","28","27","260","88.01","0.13","https://www.zendesk.com.br/customer/groupon/","0.00","0.00","0.16","54500000","0.81,0.81,0.81,1.00,0.81,0.66,1.00,0.66,0.81,0.66,0.66,0.66","1508902683"
"tickets brasil","97","73","590","58.88","1.72","https://www.zendesk.com.br/","0.00","0.00","0.10","19400000","0.45,0.45,0.37,0.45,0.37,0.30,0.37,0.37,0.45,1.00,0.68,0.55","1510506667"
"aplicativo de mensagem para facebook","62","65","170","91.58","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.02","10900000","0.36,0.24,1.00,0.24,0.12,0.16,0.30,0.67,0.44,0.44,0.82,0.44","1513365034"
"suporte chat","60","0","20","81.78","0.87","https://www.zendesk.com.br/","0.00","0.00","0.19","784000","0.33,0.67,0.33,0.33,0.33,0.33,0.67,0.67,1.00,0.67,0.67,1.00","1511719103"
"what is joomla","96","60","70","54.03","0.00","https://www.zendesk.com.br/chat/features/joomla-live-chat/","0.00","0.00","0.16","107000000","0.33,0.11,0.44,0.11,1.00,0.78,0.22,0.78,0.44,0.44,0.33,0.78","1511355023"
"helpdesk support software","21","0","90","51.09","0.00","https://www.zendesk.com.br/support/features/remote-helpdesk-software/","0.00","0.00","0.00","61000000","0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.60,1.00,0.20","1509752607"
"software cliente","8","7","30","72.14","0.00","https://www.zendesk.com.br/guide/features/customer-portal-software/","0.00","0.00","0.19","3860000","0.40,1.00,0.80,0.40,0.40,0.40,0.40,0.40,0.80,0.80,0.40,0.40","1511776309"
"chats de relacionamentos","85","87","110","70.04","1.33","https://www.zendesk.com.br/","0.00","0.00","0.93","441000","1.00,0.67,0.81,0.67,0.67,0.24,0.33,0.33,0.67,0.67,0.52,0.43","1512399036"
"groupopn","33","28","70","89.33","0.09","https://www.zendesk.com.br/customer/groupon/","0.00","0.00","0.11","55400000","0.71,1.00,1.00,1.00,0.71,1.00,0.71,0.71,0.71,0.71,1.00,1.00","1512511218"
"nos email","29","0","90","71.96","0.00","https://www.zendesk.com.br/inbox/","0.00","0.00","0.05","166000000","0.33,1.00,0.44,1.00,1.00,0.56,0.22,0.56,0.33,0.33,0.33,0.56","1513590192"
"source portal","13","14","90","52.27","0.00","https://www.zendesk.com.br/guide/features/customer-portal-software/open-source-portal-software/","0.00","0.00","0.00","527000000","0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.43,0.71,0.14,0.14,0.14","1513547810"
"grounp on","26","29","90","89.46","0.00","https://www.zendesk.com.br/customer/groupon/","0.00","0.00","0.00","55800000","0.25,0.25,1.00,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.25,0.25","1509734431"
"oq é atendimento ao cliente","71","40","90","74.89","0.00","https://www.zendesk.com.br/","0.00","0.00","0.20","926000","0.71,1.00,0.29,1.00,1.00,0.14,0.57,0.14,0.43,0.43,0.71,0.14","1513585107"
"chat relacionamento gratis","80","87","110","69.91","1.98","https://www.zendesk.com.br/chat/pricing/","0.00","0.00","0.95","468000","0.08,0.12,0.42,0.42,0.42,0.15,0.12,0.12,0.54,0.81,0.54,1.00","1512466945"
"o que é um call center","24","0","140","63.36","0.09","https://www.zendesk.com.br/talk/features/virtual-call-center/","0.00","0.00","0.12","221000000","0.43,0.67,0.52,0.67,1.00,0.52,0.67,0.52,0.67,0.67,0.81,0.67","1512408714"
"cloud software","46","38","30","64.37","23.62","https://www.zendesk.com.br/talk/features/call-center-cloud-software/","0.00","0.00","1.00","377000000","0.75,1.00,0.50,0.75,0.50,0.75,0.25,0.50,0.75,0.50,0.75,1.00","1513105253"
"prosprr","30","0","70","39.37","0.00","https://www.zendesk.com.br/customer/prosper/","0.00","0.00","0.00","46400000","0.14,0.57,0.14,0.14,0.14,0.14,0.43,0.14,0.14,0.14,0.14,1.00","1511333887"
"melhor programa de email","90","81","70","79.86","0.00","https://www.zendesk.com.br/","0.00","0.00","0.11","3530000","1.00,0.78,0.78,0.56,0.56,0.56,0.56,0.78,1.00,0.78,0.78,0.78","1512509445"
"wordpress online","50","0","260","58.84","0.94","https://www.zendesk.com.br/chat/features/wordpress-live-chat/","0.00","0.00","0.25","25500000","0.12,0.10,0.36,0.16,0.44,1.00,1.00,0.44,0.30,0.30,0.30,0.30","1513342605"
"zen email","18","0","70","46.96","0.00","https://www.zendesk.com.br/inbox/","0.00","0.00","0.06","24100000","0.14,1.00,0.43,1.00,0.14,0.14,0.14,0.57,1.00,1.00,0.57,0.29","1511254590"
"mensagens pro facebook","92","0","590","83.13","0.03","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.10","21400000","1.00,0.82,0.67,0.67,0.67,0.55,0.55,0.55,0.55,0.55,0.44,0.44","1510987853"
"inovador","36","24","880","68.15","6.42","https://www.zendesk.com.br/product/innovative-customer-service/","0.00","0.00","0.04","9480000","1.00,0.16,0.36,0.16,0.29,0.10,0.82,0.36,0.24,0.24,0.29,0.19","1513584681"
"o que e parceiro","44","73","90","79.53","0.00","https://www.zendesk.com.br/partner/","0.00","0.00","0.00","23700000","0.22,1.00,0.33,1.00,0.78,0.56,0.11,0.56,0.33,0.33,0.22,0.56","1513586065"
"o que é call center","71","70","1600","65.69","3.51","https://www.zendesk.com.br/talk/features/virtual-call-center/","0.00","0.00","0.09","281000000","0.81,1.00,0.81,1.00,1.00,0.81,1.00,1.00,1.00,0.81,1.00,0.81","1513522156"
"serato help","11","0","70","49.17","0.00","https://www.zendesk.com.br/customer/serato/","0.00","0.00","0.00","5390000","0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.78","1511332004"
"soluções moveis","64","0","30","44.81","0.87","https://www.zendesk.com.br/mobile-solutions/","0.00","0.00","0.33","649000","0.80,0.80,1.00,0.80,0.80,0.40,0.80,0.40,0.60,0.60,0.60,0.60","1513082120"
"emaik","88","0","1600","83.56","0.32","https://www.zendesk.com.br/inbox/","0.00","0.00","0.26","2045032000","0.16,0.19,1.00,0.19,0.24,0.13,0.19,0.44,0.29,0.29,0.55,0.82","1511779275"
"chat video brasil","86","0","90","60.33","0.61","https://www.zendesk.com.br/chat/","0.00","0.00","0.39","29800000","1.00,0.64,0.45,1.00,1.00,0.82,1.00,0.82,0.82,1.00,0.64,0.82","1512494925"
"msg pro facebook","92","82","70","89.84","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.14","4000000","0.64,0.64,1.00,0.36,0.36,0.29,0.36,0.14,0.36,0.50,0.29,0.14","1512554395"
"site de chat online gratis","100","0","30","62.80","1.82","https://www.zendesk.com.br/chat/","0.00","0.00","0.97","3980000","0.60,0.40,0.40,0.60,0.40,0.20,0.40,0.40,0.40,1.00,0.80,0.40","1513161157"
"john lwis","57","58","90","64.37","0.00","https://www.zendesk.com.br/customer/john-lewis/","0.00","0.00","0.00","458000000","0.20,0.20,0.80,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,1.00","1509733272"
"sure","83","88","40500","65.90","0.09","https://www.zendesk.com.br/customer/sure/","0.00","0.00","0.04","2840000000","0.82,0.67,0.30,0.67,0.67,1.00,1.00,0.24,0.37,0.37,0.37,1.00","1513507664"
"veja produto","31","32","480","75.61","0.52","https://www.zendesk.com.br/whats-new/","0.00","0.00","0.22","32300000","0.19,0.30,0.67,0.30,0.24,0.19,0.24,1.00,0.67,0.67,0.36,0.16","1513401516"
"customer service solutions","12","0","70","54.42","52.04","https://www.zendesk.com.br/support/details/customer-service-solutions/","0.00","0.01","0.80","136000000","0.11,0.11,0.44,0.11,1.00,0.78,0.22,0.78,0.44,0.44,0.11,0.78","1511170387"
"customer retention","67","0","20","44.52","12.77","https://www.zendesk.com.br/connect/features/customer-retention-software/","0.00","0.00","0.03","6640000","0.50,0.50,0.25,0.50,0.25,0.25,0.50,0.25,1.00,0.75,0.50,0.50","1511797324"
"best live chat website","21","0","90","41.56","0.00","https://www.zendesk.com.br/chat/details/website-live-chat/","0.00","0.00","0.00","108000000","0.11,0.11,0.33,1.00,0.11,0.56,0.11,0.11,0.11,0.33,0.11,0.11","1510569661"
"best live chat website","22","82","90","41.56","0.00","https://www.zendesk.com.br/chat/features/live-chat-website/","0.00","0.00","0.00","108000000","0.11,0.11,0.33,1.00,0.11,0.56,0.11,0.11,0.11,0.33,0.11,0.11","1510569661"
"software used","25","0","70","49.04","0.00","https://www.zendesk.com.br/talk/features/software-used-in-call-centers/","0.00","0.00","0.00","2290000000","0.11,1.00,0.33,1.00,1.00,0.11,0.56,0.22,0.44,0.44,0.78,0.22","1511310462"
"grpon","34","30","390","90.43","0.19","https://www.zendesk.com.br/customer/groupon/","0.00","0.00","0.13","55900000","0.81,0.81,0.81,0.81,0.81,0.67,1.00,0.67,0.81,0.81,0.81,0.81","1511797922"
"emaill","65","94","1900","79.95","0.74","https://www.zendesk.com.br/inbox/","0.00","0.00","0.16","2065032000","1.00,1.00,1.00,1.00,0.79,0.67,0.79,0.67,0.79,0.79,1.00,1.00","1511129061"
"groupong","39","32","90","89.97","0.19","https://www.zendesk.com.br/customer/groupon/","0.00","0.00","0.13","55400000","0.82,0.82,0.64,1.00,1.00,1.00,1.00,0.64,0.82,0.82,0.82,0.82","1512429901"
"customer support chat software","44","22","90","44.39","0.00","https://www.zendesk.com.br/chat/features/free-chat-software/","0.00","0.00","0.00","9980000","0.11,0.11,0.33,1.00,0.11,0.56,0.11,0.11,0.11,0.11,0.11,0.11","1511195569"
"gerenciamento de relacionamento com o cliente","46","47","40","66.39","9.93","https://www.zendesk.com.br/support/features/customer-relationship-management-systems/","0.00","0.00","0.48","614000","0.29,0.43,0.71,1.00,0.71,0.14,0.14,0.29,0.57,0.57,1.00,0.57","1512859231"
"www compare preços","22","40","110","71.22","1.17","https://www.zendesk.com.br/talk/compare/","0.00","0.00","0.64","975000","1.00,0.82,0.82,0.82,0.41,0.65,0.82,0.65,0.82,0.53,0.65,0.53","1512529341"
"grouponm","41","28","170","90.31","0.13","https://www.zendesk.com.br/customer/groupon/","0.00","0.00","0.11","55600000","0.81,0.81,0.81,1.00,0.81,0.67,0.81,0.67,0.81,0.81,0.81,0.81","1512518636"
"mensagens para face","91","0","6600","96.11","0.03","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.11","15300000","1.00,0.81,0.81,0.81,0.67,0.54,0.54,0.44,0.54,0.67,1.00,0.81","1513081426"
"central de aplicativos facebook","97","89","50","82.93","0.03","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.16","1670000","1.00,0.78,0.56,0.78,0.56,0.44,0.56,0.56,0.33,0.56,0.78,0.78","1512540450"
"prosper","50","40","1600","37.06","0.00","https://www.zendesk.com.br/customer/prosper/","0.00","0.00","0.01","44700000","0.82,0.44,0.20,0.44,0.24,0.67,1.00,0.20,0.29,0.29,0.24,0.36","1511545982"
"prezi demo presentation","46","0","90","73.50","0.00","https://www.zendesk.com.br/customer/prezi/","0.00","0.00","0.00","254000","0.14,1.00,0.29,0.14,0.14,0.14,0.57,0.14,0.43,0.43,0.14,0.14","1513561392"
"voosk","12","0","70","75.60","0.03","https://www.zendesk.com.br/customer/zoosk/","0.00","0.00","0.14","7750000","0.44,0.44,0.11,0.44,0.11,0.22,0.33,0.78,0.44,0.44,1.00,0.78","1511262968"
"sistema voip gratis","69","83","70","69.76","2.54","https://www.zendesk.com.br/talk/","0.00","0.00","0.97","626000","0.44,0.44,0.11,0.44,0.11,0.22,0.33,0.78,0.44,0.44,1.00,0.78","1511196008"
"desk em ingles","67","80","110","79.17","0.00","https://www.zendesk.com.br/","0.00","0.00","0.04","13900000","0.05,0.10,0.03,0.16,0.19,1.00,0.19,0.44,0.10,0.30,0.10,0.67","1513560217"
"atendimento a empresas","48","50","20","83.24","2.21","https://www.zendesk.com.br/smb/","0.00","0.00","0.08","30800000","1.00,1.00,0.33,0.67,0.67,0.67,0.67,0.33,1.00,0.67,0.67,1.00","1511692878"
"empresa como sistema","84","66","40","64.24","0.00","https://www.zendesk.com.br/","0.00","0.00","0.28","134000000","0.11,0.44,0.78,0.56,0.78,0.22,0.11,0.33,1.00,0.78,0.56,0.33","1509334532"
"analise de suporte","76","86","90","93.28","0.00","https://www.zendesk.com.br/explore/","0.00","0.00","0.13","21000000","0.11,0.11,0.56,0.11,1.00,0.78,1.00,0.33,0.11,0.11,0.44,0.56","1511134494"
"best app for chatting","86","0","90","72.83","0.00","https://www.zendesk.com.br/chat/features/best-live-chat-software/","0.00","0.00","0.14","171000000","0.43,0.14,0.57,0.14,1.00,0.43,0.29,1.00,0.14,0.14,0.14,0.14","1511158142"
"central de relacionamento nextel","73","93","110","79.30","1.17","https://www.zendesk.com.br/contact/","0.00","0.00","0.20","148000","0.53,0.53,0.53,0.65,0.65,0.65,0.65,0.65,0.82,0.82,1.00,1.00","1512399825"
"bem vindo ap facebook","78","0","70","91.56","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.00","27500000","0.78,0.78,0.78,0.56,0.78,0.78,0.78,0.78,0.78,1.00,0.33,0.33","1512444389"
"chat no facebook","81","0","50","89.32","0.55","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.28","223000000","0.78,1.00,0.56,0.56,0.78,0.78,0.44,0.56,0.78,0.56,0.44,0.33","1512592339"
"chat web chat","45","0","90","56.55","0.42","https://www.zendesk.com.br/chat/","0.00","0.00","0.36","212000000","0.19,1.00,0.44,0.12,0.07,0.03,0.01,0.07,0.12,0.12,0.10,0.12","1513472466"
"bem vindo ao facebook bem vindo ao facebook","50","0","720","79.89","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.00","3540000","0.20,0.30,0.30,0.55,0.37,0.45,0.45,0.45,0.55,0.77,0.77,1.00","1510479784"
"mensagens pr","37","34","70","71.56","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.14","1060000","0.56,0.78,0.78,0.78,0.78,0.78,0.56,0.56,0.56,0.56,1.00,0.56","1512540005"
"start ups","45","37","1000","43.80","5.47","https://www.zendesk.com.br/startups/","0.00","0.00","0.26","228000000","0.46,0.53,0.46,0.53,1.00,0.38,0.46,0.38,0.53,0.46,0.53,0.53","1510347800"
"eventbrite","100","92","2400","78.74","0.09","https://www.zendesk.com.br/resources/eventos-e-treinamentos/","0.00","0.00","0.11","26000000","0.24,1.00,0.15,0.36,0.15,0.67,0.24,0.82,0.36,0.55,0.55,0.67","1513568412"
"zen recife","68","54","880","73.64","1.07","https://www.zendesk.com.br/","0.00","0.00","0.14","709000","1.00,0.81,0.81,0.81,0.55,0.45,0.45,0.55,0.45,0.45,0.37,0.37","1510498134"
"mensagens de trabalho para facebook","98","0","90","77.63","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.00","14800000","0.44,0.33,0.56,0.22,0.56,1.00,0.33,0.44,1.00,0.56,0.56,0.78","1509725857"
"help desk e service desk","52","0","30","45.34","46.04","https://www.zendesk.com.br/support/details/itil-help-desk/","0.00","0.00","0.70","30900000","0.40,0.40,0.40,0.60,0.40,0.40,0.40,0.40,1.00,0.80,0.80,0.80","1513098569"
"o que evernote","60","0","260","77.04","0.00","https://www.zendesk.com.br/customer/evernote/","0.00","0.00","0.00","2710000","0.04,0.44,0.06,0.01,0.12,0.10,0.03,0.10,1.00,1.00,0.15,0.36","1513553613"
"zook chat","24","0","70","60.23","0.00","https://www.zendesk.com.br/customer/zoosk/","0.00","0.00","0.00","1150000","0.44,0.11,0.33,0.11,0.11,0.11,0.56,0.11,0.11,0.11,1.00,0.11","1511278877"
"cadastro de funcionarios","92","92","320","63.78","1.89","https://www.zendesk.com.br/register/","0.00","0.00","0.10","1990000","1.00,0.82,1.00,1.00,0.82,0.54,0.82,0.82,1.00,0.82,1.00,0.67","1511402573"
"why call center","53","0","90","38.52","0.00","https://www.zendesk.com.br/talk/features/free-call-center-software/","0.00","0.00","0.00","30600000","0.11,0.11,0.11,0.56,1.00,0.33,0.44,1.00,0.11,0.11,0.78,0.11","1513515416"
"animoto.com","37","0","210","80.95","0.09","https://www.zendesk.com.br/customer/animoto/","0.00","0.00","0.02","2310000","0.65,0.81,0.81,1.00,0.81,1.00,0.81,0.81,0.81,0.54,0.81,0.65","1513346442"
"suporte em ti","38","46","210","54.11","7.23","https://www.zendesk.com.br/internal-help-desk/it-help-desk-software/","0.00","0.00","0.91","9290000","0.53,0.66,0.66,0.66,0.53,0.28,0.53,0.81,1.00,0.66,0.81,0.53","1512519542"
"inbiox","42","46","90","48.50","0.00","https://www.zendesk.com.br/inbox/","0.00","0.00","0.04","344000000","0.22,0.22,0.56,0.22,0.78,1.00,0.33,1.00,0.56,0.56,0.22,0.56","1509732299"
"ggroupon","32","41","110","88.79","0.16","https://www.zendesk.com.br/customer/groupon/","0.00","0.00","0.14","55200000","0.82,0.82,1.00,0.82,1.00,0.82,1.00,0.82,0.82,1.00,1.00,1.00","1512472104"
"portal software","16","14","20","60.66","5.63","https://www.zendesk.com.br/guide/features/customer-portal-software/","0.00","0.00","0.15","255000000","0.75,0.50,0.50,0.50,0.25,0.25,0.50,0.50,1.00,0.75,0.75,0.50","1508846671"
"preco s","89","85","140","85.88","1.43","https://www.zendesk.com.br/product/pricing/","0.00","0.00","0.19","13100000","0.05,0.02,0.12,0.02,0.16,0.44,0.03,1.00,0.16,0.16,0.24,0.24","1513412226"
"entrar no login","81","75","110","69.73","0.00","https://www.zendesk.com.br/login/","0.00","0.00","0.02","15800000","0.19,0.19,0.44,0.19,0.55,0.30,0.16,0.67,1.00,1.00,0.82,0.16","1513505038"
"chat para site gratis","31","36","50","63.38","1.89","https://www.zendesk.com.br/chat/","0.00","0.00","0.88","5530000","0.11,0.33,0.56,0.33,0.56,0.44,0.56,0.44,1.00,1.00,0.78,0.78","1512595512"
"telefonica fone","92","0","40","75.77","0.81","https://www.zendesk.com.br/talk/","0.00","0.00","0.46","569000","0.57,0.43,0.71,0.57,0.71,0.43,1.00,0.57,0.57,0.57,0.43,0.43","1513020861"
"loja fossil","86","0","40","76.79","0.22","https://www.zendesk.com.br/customer/fossil/","0.00","0.00","0.77","595000","0.80,0.80,0.80,1.00,0.80,0.80,1.00,0.60,0.60,0.40,0.80,0.80","1513085020"
"bark soluções online","66","59","90","71.76","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.04","73000","0.44,0.11,0.56,0.11,1.00,0.33,0.33,0.78,0.11,0.11,0.11,0.11","1511131981"
"celular aplicativos","72","86","20","86.36","2.44","https://www.zendesk.com.br/product/mobile/","0.00","0.00","0.30","9110000","0.50,0.50,0.50,0.75,1.00,0.50,0.50,0.50,0.75,0.75,0.50,0.50","1511788474"
"todos os app","53","84","210","79.02","0.84","https://www.zendesk.com.br/apps/","0.00","0.00","0.12","84100000","0.03,0.03,0.06,0.28,0.53,0.53,0.66,1.00,1.00,1.00,1.00,1.00","1513293857"
"criando um software","53","47","40","70.40","3.06","https://www.zendesk.com.br/guide/features/customer-portal-software/","0.00","0.00","0.11","610000","0.60,0.60,1.00,1.00,0.60,0.60,0.60,0.40,0.60,0.60,1.00,0.60","1513177425"
"customer call center","13","0","90","70.44","0.00","https://www.zendesk.com.br/talk/features/customer-call-center-software/","0.00","0.00","0.00","39600000","0.11,0.11,0.11,0.11,1.00,0.33,0.11,0.33,0.56,0.11,0.78,0.11","1511198770"
"site de software","95","86","50","63.22","2.11","https://www.zendesk.com.br/","0.00","0.00","0.30","1100000000","0.43,0.71,1.00,1.00,0.71,0.43,0.57,0.57,0.71,0.71,0.71,1.00","1512587976"
"moveis bom tempo","90","0","170","81.16","1.53","https://www.zendesk.com.br/product/mobile/","0.00","0.00","0.14","710000","0.67,0.12,0.82,0.36,0.82,0.36,0.12,1.00,0.24,0.36,0.36,0.67","1513346554"
"groupeon","31","26","90","84.57","0.03","https://www.zendesk.com.br/customer/groupon/","0.00","0.00","0.14","20900000","0.22,0.22,0.56,0.22,0.78,1.00,0.33,1.00,0.56,0.56,0.11,0.56","1513467325"
"top fiverr sellers","56","0","70","58.06","0.00","https://www.zendesk.com.br/customer/fiverr/","0.00","0.00","0.00","1610000","0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.00,0.25,0.25,0.25","1511329478"
"temmail","96","90","480","82.68","0.00","https://www.zendesk.com.br/inbox/","0.00","0.00","0.02","1975032000","0.02,0.02,0.02,0.66,0.02,1.00,0.54,0.24,0.36,0.36,0.19,1.00","1513199547"
"endereço email","93","0","50","88.72","0.52","https://www.zendesk.com.br/inbox/","0.00","0.00","0.48","13200000","0.43,0.71,0.57,0.71,0.43,0.43,0.71,0.71,0.71,0.57,1.00,1.00","1512585327"
"proupon","43","27","50","89.97","0.09","https://www.zendesk.com.br/customer/groupon/","0.00","0.00","0.10","55400000","0.71,0.57,0.57,0.71,0.71,0.43,1.00,0.57,0.71,0.71,0.71,0.71","1512549125"
"facebook backgrounds","72","65","30","70.30","0.00","https://www.zendesk.com.br/company/press/zendesk-names-new-board-members-leadership-backgrounds-facebook-amazon-com-macromedia/","0.00","0.00","0.00","44400000","0.50,1.00,0.75,0.75,1.00,0.75,0.50,0.25,0.50,0.50,0.50,0.50","1513105236"
"develop an application","86","0","90","69.20","0.00","https://www.zendesk.com.br/company/customers-partners/application-developer-api-license-agreement/","0.00","0.00","0.00","691000000","0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14","1510516071"
"bem vindo au fecebook","56","69","480","77.51","0.00","https://www.zendesk.com.br/chat/message/","0.00","0.00","0.00","0","0.82,0.82,1.00,1.00,0.67,0.54,0.44,0.44,0.67,0.44,0.44,0.44","1513225501"
"gratuitamente","73","73","1900","80.53","0.29","https://www.zendesk.com.br/register/","0.00","0.00","0.25","90200000","0.13,0.24,0.44,0.44,0.53,0.81,0.53,0.44,0.53,0.53,1.00,1.00","1511127375"
"niveis de segurança","89","67","40","68.90","2.08","https://www.zendesk.com.br/product/zendesk-security/","0.00","0.00","0.07","14900000","0.40,0.60,1.00,0.80,0.80,0.40,0.20,0.40,1.00,0.80,1.00,1.00","1512991375"
"trivago travel website","76","0","70","65.23","0.00","https://www.zendesk.com.br/customer/trivago/","0.00","0.00","0.00","860000","0.25,0.25,1.00,0.25,0.25,0.25,0.50,0.25,0.25,0.25,0.25,0.25","1511329941"
"help desk management","60","0","90","48.20","0.00","https://www.zendesk.com.br/support/features/service-desk-management-system/","0.00","0.00","0.57","81000000","0.22,0.22,0.56,0.22,0.78,1.00,0.33,1.00,0.56,0.11,0.22,0.56","1509740549"
"easy taxi login","66","78","50","82.38","0.52","https://www.zendesk.com.br/customer/easy-taxi/","0.00","0.00","0.17","5900000","0.33,0.33,0.33,0.44,0.33,0.44,0.33,0.44,0.56,0.56,0.56,1.00","1512541453"
"emtepo","39","59","90","75.31","0.00","https://www.zendesk.com.br/chat/","0.00","0.00","0.00","182000000","0.11,0.11,0.56,0.11,1.00,0.78,1.00,0.33,0.11,0.11,0.44,0.56","1510508852"
"answer em portugues","15","24","110","82.07","0.00","https://www.zendesk.com.br/answer-bot/","0.00","0.00","0.04","20400000","0.19,0.19,0.05,0.01,0.19,0.55,0.30,0.16,0.67,1.00,1.00,0.82","1513427201"
"outlooktlook","91","0","110","81.44","0.00","https://www.zendesk.com.br/outlook/","0.00","0.00","0.00","465000000","0.65,0.65,0.82,1.00,1.00,1.00,0.82,0.53,0.29,0.53,0.53,0.53","1513442800"
"trlvago","13","0","70","69.37","0.00","https://www.zendesk.com.br/customer/trivago/","0.00","0.00","0.14","21900000","0.71,0.57,0.14,0.57,0.14,1.00,1.00,0.29,0.57,0.57,0.29,0.29","1511376011"
"perguntas para candidatos a emprego","55","0","20","79.28","0.00","https://www.zendesk.com.br/resources/10-perguntas-para-a-contratacao-de-excelentes-representantes-de-atendimento-ao-cliente/","0.00","0.00","0.14","548000","0.33,0.67,1.00,0.67,0.33,0.33,0.67,0.33,0.67,0.67,0.33,0.33","1511709867"
"www o2 arena","18","34","90","55.87","0.00","https://www.zendesk.com.br/customer/o2-arena/","0.00","0.00","0.14","9150000","0.11,0.11,0.33,1.00,0.78,0.56,0.11,0.56,0.11,0.11,1.00,0.56","1513493604"
"przi","28","26","210","78.61","0.09","https://www.zendesk.com.br/customer/prezi/","0.00","0.00","0.11","37000000","0.19,0.82,0.67,0.03,0.67,0.67,1.00,1.00,0.24,0.36,0.36,0.36","1513343258"
"opentable software","21","0","90","43.90","0.00","https://www.zendesk.com.br/customer/opentable/","0.00","0.00","0.00","460000","0.14,1.00,0.43,0.14,0.14,0.14,0.14,0.14,0.14,0.43,0.14,0.14","1513566584"
"chat mobile","55","0","260","43.80","1.82","https://www.zendesk.com.br/chat/features/mobile-live-chat/","0.00","0.00","0.39","267000000","0.82,0.67,0.67,1.00,0.82,0.82,0.54,0.67,0.82,0.54,0.82,0.54","1511884954"
"aplicativos mais","86","81","90","79.78","0.71","https://www.zendesk.com.br/apps/","0.00","0.00","0.06","19900000","0.44,0.67,0.15,0.67,0.15,0.44,0.54,0.24,0.15,0.15,0.82,1.00","1513434621"
"sistema de software","62","45","140","68.83","0.00","https://www.zendesk.com.br/","0.00","0.00","0.13","126000000","0.30,0.12,0.03,0.08,0.67,0.16,0.44,1.00,0.24,0.16,0.16,0.24","1513373210"
